Network,Station,Start,End
NM,NM01,2010-06-16,2011-06-25
NM,NM02,2010-06-20,2011-06-24
NM,NM03,2010-06-15,2011-06-24
NM,NM04,2010-06-21,2011-06-25
NM,NM05,2010-06-21,2011-06-25
NM,NM01,2012-08-21,2013-08-21
NM,NM02,2012-08-24,2014-08-20
NM,NM03,2012-08-24,2014-08-24
NM,NM04,2012-08-20,2013-08-21
NM,NM05,2012-08-21,2013-08-22
NM,NM12,2012-08-26,2013-08-27
NM,NM14,2012-09-01,2013-08-22
NM,NM15,2012-08-26,2014-08-26
NM,NM16,2012-08-11,2014-08-28
NM,NM17,2012-08-28,2013-08-29
NM,NM18,2011-11-22,2013-07-01
NM,NM19,2011-11-21,2013-07-01
NM,NM20,2011-11-23,2013-07-01
NM,NM21,2011-11-21,2013-07-01
NM,NM22,2011-11-24,2013-07-01
NM,NM23,2011-11-23,2013-07-01
NM,NM24,2011-11-23,2013-04-20
NM,NM25,2011-11-23,2013-07-01
NM,NM01,2013-08-24,2014-06-10
NM,NM04,2013-08-24,2014-06-10
NM,NM05,2013-08-25,2014-06-08
NM,NM12,2013-08-27,2014-06-05
NM,NM14,2013-08-23,2014-09-01
NM,NM17,2013-08-29,2014-09-26
NM,NM20,2013-09-03,2014-09-24
NM,NM22,2013-09-01,2014-09-26
NM,NM23,2013-09-02,2014-09-26
NM,NM24,2013-09-01,2014-09-27
NM,NM25,2013-09-02,2014-09-27
